a,b,c,d,e,f,g,h,i,j,k
0.741690569,0.584612789,0.722793994,0.765311287,0.549181711,0.742871605,0.643664586,0.738147461,0.741690569,0.59878522,0.765311287
0.672009448,0.292896912,0.966087397,0.879871773,0.8314493,0.93301839,1.031044373,0.810190653,0.359034925,0.957820145,0.905854564
1.064113379,0.856251054,0.429897081,0.842078623,0.942466678,0.836173444,0.870423486,0.931837354,0.884595917,0.846802767,0.888139025
0.838535515,0.974354648,0.888139025,0.83735448,0.909397672,0.928294247,0.920026995,0.917664923,0.582250717,0.617681795,0.894044204
0.190146786,0.865699342,0.494854058,0.341319386,0.902311456,0.713345706,0.66846634,0.884595917,0.855070019,0.53500928,0.950733929
0.768854395,0.786569934,0.862156234,0.889320061,0.82554412,0.811371689,0.666104269,0.707440526,0.875147629,0.868061414,0.954277037
0.741690569,0.178336427,0.877509701,0.79956133,0.852707947,0.813733761,0.676733592,0.859794162,0.178336427,0.855070019,0.934199426
0.922389067,0.876328665,0.79956133,0.879871773,0.849164839,0.894044204,0.860975198,0.822001012,0.291715876,0.904673528,0.879871773
0.972082133,0.547190202,0.569884726,0.761527378,0.590057637,0.58879683,0.730007205,0.728746398,0.804394813,0.798090778,0.443804035
0.409762248,0.607708934,0.50306196,0.640489914,0.909041787,0.733789625,0.936779539,0.96073487,0.946865994,0.94434438,1.062860231
0.619056196,0.950648415,0.948126801,0.640489914,0.905259366,0.640489914,0.697226225,0.677053314,0.930475504,0.801873199,0.330331412
0.535842939,0.872478386,0.939301153,0.887608069,0.864913545,0.853566282,0.711095101,0.979646974,0.880043228,0.814481268,0.953170029
0.979646974,0.932997118,0.854827089,0.876260807,0.843479827,0.828350144,0.829610951,0.869956772,0.867435159,0.905259366,0.982168588
0.959474063,0.717399135,0.50684438,0.883825648,0.856087896,0.847262248,0.206772334,0.839697406,0.828350144,0.716138329,0.504322767
0.678314121,0.963256484,0.909041787,0.852305476,0.692182997,0.878782421,0.887608069,0.830871758,0.919128242,0.921649856,0.958213256
0.948126801,0.948126801,0.919128242,0.882564841,0.84221902,0.791786744,0.852305476,0.838436599,0.803134006,0.843479827,0.859870317
0.980554949,0.913698929,0.86912825,0.882237273,0.921564343,0.901900808,0.956958707,0.93074066,0.894035394,0.831112082,0.740659821
1.029058335,0.782608696,0.918942539,0.789163207,1.086738038,1.02643653,1.005462093,1.017260214,1.073629015,1.126065108,0.836355692
0.97006773,0.714441774,1.067074503,0.985798558,1.018571116,1.051343675,1.122132401,1.057898187,1.076250819,0.844221106,0.920253441
0.715752676,0.984487656,0.980554949,0.894035394,0.705265458,0.900589906,0.912388027,0.983176753,0.943849683,0.980554949,0.993663972
1.002840288,1.022503823,0.98710946,0.916320734,0.774743282,0.984487656,0.696089141,0.730172602,0.93074066,0.951715097,0.991042167
0.920253441,1.006772995,0.980554949,0.949093293,0.477168451,0.945160586,0.950404195,0.900589906,1.124754206,1.036923749,1.111645182
0.943849683,0.989731265,1.014638409,0.942538781,0.935984269,0.907144418,0.876993664,0.915009832,0.894035394,0.928118855,0.966135023
1.021192921,0.932051562,0.827179375,0.894035394,0.894035394,0.865195543,0.907144418,0.709198165,0.866506445,0.845532008,0.820624863
1.069255663,0.834951456,0.838834951,0.8,0.938511327,0.323624595,0.796116505,0.83236246,0.819417476,0.84789644,0.8802589
0.990291262,0.875080906,1.045954693,1.03171521,0.977346278,0.384466019,0.889320388,0.757281553,1.011003236,0.986407767,1.027831715
1.168932039,1.097734628,0.992880259,0.929449838,0.912621359,0.88802589,0.92038835,0.924271845,0.954045307,1.013592233,0.954045307
0.961812298,0.950161812,0.877669903,1.219417476,0.666666667,0.875080906,0.836245955,0.67184466,0.919093851,1.048543689,1.15987055
1.05631068,0.919093851,0.859546926,0.802588997,0.898381877,0.866019417,0.779288026,0.822006472,0.85566343,0.969579288,1.052427184
1.020064725,1.029126214,0.994174757,0.924271845,0.934627832,0.877669903,0.942394822,0.88802589,0.939805825,1.201294498,1.008414239
0.942394822,1.03171521,0.954045307,1.084789644,0.849190939,0.947572816,0.910032362,1.066666667,0.92038835,0.996763754,0.994174757
1.074433657,0.950161812,0.932038835,0.921682848,0.406472492,0.960517799,0.897087379,0.908737864,0.696440129,0.951456311,0.902265372
0.835496529,0.827044974,0.833081799,0.798068216,0.8089345,0.754603079,0.81617869,0.772713553,0.846362813,0.817386055,0.805312406
0.999698159,1.161485059,0.939329912,0.964684576,1.011771808,0.946574102,0.921219439,0.927256263,0.962269846,0.971928765,1.011771808
0.97555086,0.952610927,0.597645638,0.849984908,0.905523695,0.891035315,0.922426804,0.952610927,0.722004226,1.043163296,0.962269846
