a,b,c,d,e,f,g,h,j,k,l
1.028488111,0.601390758,0.719156572,0.314042171,0.829071332,0.906011664,0.89816061,1.028488111,0.884028712,0.64064603,0.918573351
0.97196052,0.822790489,0.935845671,0.893449978,0.887169134,0.854194706,0.910722297,0.901301032,0.858905339,0.383131449,1.003364738
0.835352176,0.764692687,0.761552266,0.755271422,0.910722297,0.789816061,0.80551817,0.84320323,0.921713773,0.835352176,0.791386272
0.569986541,0.711305518,0.60453118,0.836922387,0.829071332,0.706594886,0.796096904,0.909152086,0.876177658,0.698743831,0.582548228
0.810228802,0.802377748,0.858905339,0.720726783,0.460071781,0.965679677,0.720726783,0.728577838,0.75056079,0.725437416,0.706594886
0.554284432,0.747420368,0.639075819,0.789816061,0.500897263,0.626514132,0.91543293,0.813369224,0.825930911,0.851054284,0.615522656
0.827501122,0.62337371,0.526020637,0.759982055,0.58568865,0.679901301,0.770973531,0.722296994,0.631224764,0.700314042,0.796096904
0.803947959,0.58725886,0.53230148,0.747420368,0.554284432,0.728577838,0.58568865,0.8243607,0.42081651,0.700314042,0.573126963
0.642095416,0.904022451,0.748362956,0.887558466,0.519363891,0.712441534,0.841159963,0.827689429,0.874087933,0.890551918,0.546304958
0.571749298,0.54929841,0.805238541,0.718428438,0.686997194,0.814218896,0.625631431,0.75434986,0.808231993,0.815715622,0.99232928
0.92647334,0.856127222,0.800748363,0.895042095,0.802245089,0.945930776,0.877081384,1.064172123,1.034237605,0.904022451,0.818709074
0.684003742,0.228999065,0.907015903,0.851637044,0.833676333,0.68849392,0.622637979,0.884565014,0.697474275,0.874087933,0.719925164
0.968381665,0.622637979,0.794761459,0.603180543,0.598690365,1.293171188,0.788774556,0.793264733,0.565762395,0.890551918,0.678016838
0.989335828,0.856127222,1.05818522,0.848643592,0.802245089,1.035734331,1.103086997,0.823199252,1.086623012,0.990832554,1.177923293
1.152478952,1.15696913,0.869597755,0.993826006,0.969878391,0.999812909,0.761833489,0.989335828,1.162956034,0.619644528,0.833676333
0.995322732,0.896538821,0.966884939,0.736389149,1.052198316,0.257436857,0.276894294,0.924976614,1.002806361,0.838166511,0.989335828
0.889584965,0.836335161,0.783085356,0.808144088,0.668754894,0.685982772,0.750195771,0.745497259,0.877055599,0.837901331,0.76898982
0.905246672,0.953797964,0.828504307,0.972592013,0.94596711,0.837901331,0.830070478,0.671887236,0.634299139,0.908379013,0.671887236
1.102584182,0.83476899,0.745497259,0.919342208,0.997650744,0.76898982,0.986687549,0.996084573,0.939702428,0.969459671,1.021143305
0.960062647,0.618637431,0.706342991,0.540328896,0.371182459,0.823805795,0.565387627,0.906812843,0.894283477,0.784651527,0.754894283
0.905246672,1.038371182,0.819107283,0.844166014,0.971025842,0.767423649,0.37274863,0.772122161,0.391542678,0.526233359,0.742364918
1.021143305,0.939702428,0.800313234,0.471417384,0.638997651,0.753328113,0.814408771,0.853563038,0.820673453,0.667188724,1.002349256
0.975724354,0.806577917,0.739232576,0.891151135,0.844166014,0.894283477,0.867658575,0.90211433,0.925606891,0.958496476,1.022709475
0.997650744,0.931871574,1.025841817,1.039937353,0.933437745,0.916209867,0.891151135,0.676585748,0.981989037,0.839467502,0.96632733
0.886702969,0.808009837,0.706832953,0.677323028,0.702617249,0.798173195,0.77147374,0.793957492,0.796767961,0.810820306,0.823467416
0.996311259,0.94010188,1.031442122,1.091867205,1.114350957,0.978043211,1.076409626,0.989285087,1.094677674,1.006147901,0.945722817
0.713859125,1.017389777,0.885297734,1.02160548,0.670296856,1.020200246,0.937291411,1.06516775,0.968206569,1.136834709,1.011768839
0.878271562,1.017389777,1.112945723,1.027226418,0.871245389,0.829088354,0.838924996,1.02160548,1.103109081,0.951343755,1.004742666
0.982258914,1.007553135,1.001932197,1.02160548,0.94010188,1.031442122,0.791147023,0.878271562,0.917618128,1.015984542,0.973827507
0.98085368,1.128403302,1.060952046,1.076409626,0.942912348,0.670296856,0.879676796,0.904971017,0.916212893,1.035657825,0.874055858
1.045494467,0.652028807,1.02160548,0.978043211,0.694185842,0.951343755,0.243105568,1.04971017,1.028631653,1.086246267,1.114350957
1.038468294,1.142455647,1.014579308,0.935886176,0.590198489,0.983664149,0.888108203,0.9246443,0.875461093,0.954154224,1.041278763
