"","Rank","ID","Drug","Viability","KRAS","FC","Lable","Label"
"1",1,"N1953","Polyphyllin B",0.26911315,0.624613187,2.32100581855625,"Highlight","FC>2"
"2",2,"B2290","Beta-Lapachone",0.274697871,0.712223292,2.59275140869221,"Highlight","FC>2"
"3",3,"B8471","Gambogenic acid",0.274779195,0.551937247,2.00865734030555,"Highlight","FC>2"
"4",4,"N1887","Saikosaponin D",0.304276316,0.489196197,1.6077366895687,"Normal","FC≤2"
"5",5,"N1924","Polyphyllin A",0.30988787,0.571292549,1.84354601875833,"Normal","FC≤2"
"6",6,"B5970","Sanguinarine chloride",0.309904153,0.622563821,2.00889150717512,"Highlight","FC>2"
"7",7,"N2256","vinblastine",0.32293578,0.874077601,2.70666075155872,"Highlight","FC>2"
"8",8,"N1595","Raddeanin A",0.334229172,0.664750958,1.98890765286041,"Normal","FC≤2"
"9",9,"C6901","6-Benzylaminopurine",0.342529243,1.042068699,3.0422765947607,"Highlight","FC>2"
"10",10,"B6674","Anisomycin",0.3514377,0.597858907,1.70118034291711,"Normal","FC≤2"
"11",11,"N2818","Polyphyllin VII",0.355766944,0.645111025,1.81329669852633,"Normal","FC≤2"
"12",12,"N1885","Saikosaponin A",0.363486842,0.987035436,2.71546400570946,"Highlight","FC>2"
"13",13,"A3424","Gambogic Acid",0.369820359,0.663672891,1.79458181478862,"Normal","FC≤2"
"14",14,"A8192","Staurosporine",0.373511196,0.813462906,2.17788091685477,"Highlight","FC>2"
"15",15,"A3306","Chelerythrine Chloride",0.373652695,0.956747814,2.56052699954432,"Highlight","FC>2"
"16",16,"B7644","Nigericin sodium salt",0.397763578,0.612681856,1.54031663502383,"Normal","FC≤2"
"17",17,"B2285","Daunorubicin HCl",0.405140994,0.812319538,2.00502923680935,"Highlight","FC>2"
"18",18,"N1375","Solamargine",0.40846949,1.038470191,2.54234457266319,"Highlight","FC>2"
"19",19,"B7587","Puromycin dihydrochloride",0.415335463,0.681855614,1.64169851780752,"Normal","FC≤2"
"20",20,"B1981","Mycophenolic acid",0.416953036,0.91231627,2.18805522739976,"Highlight","FC>2"
"21",21,"B5954","Dasatinib Monohydrate",0.418952618,0.866217517,2.0675787184125,"Highlight","FC>2"
"22",22,"N2250","Vinorelbine",0.448521916,0.929302547,2.07192227146377,"Highlight","FC>2"
"23",23,"N1504","Homoharringtonine",0.453457122,0.641762452,1.41526601053142,"Normal","FC≤2"
"24",24,"B7488","Pristimerin",0.460063898,0.571507,1.24223396463941,"Normal","FC≤2"
"25",25,"A3220","Bardoxolone",0.465628743,0.888678799,1.90855657508239,"Normal","FC≤2"
"26",26,"B1400","Brefeldin A",0.472067715,0.745932416,1.58013859515896,"Normal","FC≤2"
"27",27,"B6764","Combretastatin A4",0.476038339,0.632445786,1.32856060990499,"Normal","FC≤2"
"28",28,"B2295","Pirarubicin",0.498753117,0.787295476,1.57852743003509,"Normal","FC≤2"
"29",29,"N1864","Toosendanin",0.506578947,0.70008643,1.3819887978882,"Normal","FC≤2"
"30",30,"A4176","Thioguanine",0.506908051,0.862763688,1.70201220181449,"Normal","FC≤2"
"31",31,"A8244","Cycloheximide",0.508813721,0.796397251,1.56520395997733,"Normal","FC≤2"
"32",32,"N1790","Podophyllotoxin",0.509868421,0.772687986,1.51546546947256,"Normal","FC≤2"
"33",33,"N1555","Lycorine chloride",0.510139262,0.756704981,1.48333021464245,"Normal","FC≤2"
"34",34,"B2296","Topotecan HCl",0.515633992,0.800769971,1.55298134611731,"Normal","FC≤2"
"35",35,"N1925","Polyphyllin D",0.523547401,0.896929303,1.71317688004338,"Normal","FC≤2"
"36",36,"B1667","Azaguanine-8",0.532185145,0.962232713,1.80807886511,"Normal","FC≤2"
