A,B,C,D,E,F,G,H,I,J,K
0.998323353,1.078802395,1.063473054,1.105628743,0.753053892,1.136287425,1.14011976,1.14011976,1.195688623,0.580598802,1.105628743
0.850778443,0.908263473,1.059640719,1.195688623,0.850778443,1.122874251,0.915928144,1.103712575,0.948502994,1.10754491,1.232095808
1.105628743,1.090299401,0.674491018,1.002155689,1.051976048,1.128622754,1.028982036,1.153532934,1.253173653,1.16502994,1.151616766
1.16502994,1.094131737,1.065389222,1.071137725,1.092215569,1.055808383,1.119041916,1.358562874,0.756886228,0.636167665,1.094131737
1.111377246,1.088383234,0.64,0.804790419,1.071137725,0.674491018,0.603592814,1.249341317,1.262754491,0.917844311,1.061556886
0.638083832,0.465628743,1.067305389,1.142035928,1.406467066,1.203353293,0.373652695,0.67257485,1.237844311,1.128622754,1.057724551
0.879520958,1.057724551,1.065389222,0.856526946,1.113293413,1.007904192,0.613173653,1.142035928,0.369820359,1.059640719,1.120958084
1.124790419,1.153532934,1.126706587,1.086467066,1.090299401,1.138203593,1.040479042,1.109461078,0.60742515,1.178443114,1.188023952
1.032872797,0.539304431,0.575512149,1.059552168,0.588851834,0.60219152,1.004287756,1.067174845,1.015721772,0.973797046,0.945212006
1.042401143,0.75083373,0.577417818,0.506908051,1.107193902,0.649833254,1.046212482,1.048118152,1.059552168,1.069080515,1.034778466
0.564078132,1.010004764,1.02334445,0.916626965,0.981419724,0.832777513,0.640304907,0.640304907,0.920438304,0.802286803,0.546927108
0.964268699,1.05383516,0.937589328,1.027155788,0.840400191,0.937589328,0.985231062,1.139590281,0.987136732,0.87279657,0.998570748
1.210100048,1.027155788,0.979514054,0.882324917,0.924249643,1.055740829,0.96236303,1.084325869,1.069080515,0.941400667,1.02143878
1.269175798,0.853739876,0.665078609,0.941400667,0.899475941,0.952834683,0.373511196,1.067174845,1.017627442,0.859456884,0.508813721
1.181515007,0.990948071,1.063363506,1.027155788,0.665078609,1.063363506,0.990948071,0.985231062,1.011910434,1.05192949,1.086231539
1.286326822,1.240590758,1.151024297,1.145307289,1.2939495,0.8708909,1.373987613,1.267270129,1.116722249,1.091948547,1.097665555
1.102781137,1.160822249,1.081499395,1.054413543,1.091172914,1.133736397,1.096977025,1.102781137,1.10471584,1.046674728,0.969286578
1.224667473,1.009915357,1.288512696,0.675211608,1.222732769,1.145344619,1.170495768,1.162756953,1.21305925,1.172430472,1.207255139
1.205320435,1.002176542,1.031197098,0.990568319,1.07376058,1.05828295,1.023458283,1.033131802,1.025392987,1.006045949,1.085368803
0.621039903,1.025392987,1.035066505,0.990568319,0.545586457,0.9808948,1.01185006,1.009915357,0.978960097,1.017654172,1.07376058
1.153083434,1.054413543,0.992503023,0.895767836,0.913180169,0.988633615,1.10471584,0.628778718,0.928657799,1.009915357,1.054413543
1.164691657,1.023458283,0.930592503,0.868681983,0.472067715,1.007980653,0.940266022,0.948004837,0.924788392,1.124062878,1.048609432
1.303990326,1.164691657,1.044740024,1.095042322,0.975090689,0.949939541,0.920918984,1.01185006,0.959613059,1.021523579,1.100846433
1.342684401,1.284643289,1.162756953,1.199516324,1.27496977,1.286577993,1.222732769,0.646191052,1.069891173,1.023458283,1.05828295
1.176318622,1.136706136,1.059203445,1.083315393,1.110871905,0.532185145,0.947255113,0.945532831,0.979978471,1.016146394,1.010979548
1.176318622,1.460495156,1.31065662,1.358880517,1.410548977,0.909364909,0.90247578,0.874919268,1.188374596,1.224542519,1.098815931
1.110871905,1.407104413,1.147039828,0.814639397,1.307212056,1.222820237,1.432938644,1.145317546,1.033369214,0.998923574,1.138428418
1.076426265,1.401937567,1.105705059,1.312378902,1.110871905,1.072981701,1.181485468,1.026480086,1.116038751,0.852529602,1.072981701
1.083315393,1.350269107,1.045425188,0.969644779,1.028202368,1.207319699,1.18320775,0.943810549,1.01270183,0.978256189,1.024757804
