a,b,c,d,e,f,g,h,i,j,k
A1206,A1402,A1670,A1832,A1877,A1906,A1907,A1908,A1909,A1910,A1912
Daptomycin,Gemcitabine HCl,Enzastaurin (LY317615),Doxorubicin (Adriamycin) HCl,XAV-939,"Decitabine (NSC127716, 5AZA-CdR)",5-Azacytidine,AMI-1,BIX 01294,"Bromodomain Inhibitor, (+)-JQ1",Lomeguatrib
A1913,A1914,A1915,A2171,A2306,A2600,A3002,A3012,A3214,A3221,A3222
RG 108,UNC0638,Zebularine,Carboplatin,Ellagic acid,(-)-Epigallocatechin gallate (EGCG),ABT-888 (Veliparib),Ruxolitinib (INCB018424),AZD1152,Bardoxolone methyl,Baricitinib phosphate
A3246,A3306,A3335,A3337,A3348,A3446,A3449,A3515,A3602,A3617,A3675
"BMN-673 8R,9S",Chelerythrine Chloride,Curcumin,CX-6258,Daminozide,GSK126,GSK343,JANEX-1,MI-2,MK-4827,NVP-BSK805
A3692,A3741,A3760,A3761,A3781,A3794,A3821,A3860,A3901,A3937,A3939
OTX-015,Pyridone 6,Reversine,RG2833,Ruxolitinib phosphate,SB1317,SRT2104 (GSK2245840),Tasquinimod,UNC1215,XL019,XL228
A3958,A3962,A3963,A3965,A3966,A4083,A4084,A4089,A4090,A4091,A4092
Veliparib dihydrochloride,AZD1208,A-769662,BI 2536,Doxorubicin,Rocilinostat (ACY-1215),"Vorinostat (SAHA, MK0683)","Mocetinostat (MGCD0103, MG0103)",JNJ-26481585,PCI-34051,CUDC-101
A4093,A4094,A4095,A4096,A4097,A4098,A4099,A4100,A4101,A4102,A4103
ITF2357 (Givinostat),MC1568,Pracinostat (SB939),Belinostat (PXD101),CUDC-907,PCI-24781 (CRA-024781),Valproic acid sodium salt (Sodium valproate),Droxinostat,Tubastatin A,CI994 (Tacedinaline),"LAQ824 (NVP-LAQ824,Dacinostat)"
A4104,A4105,A4106,A4107,A4110,A4111,A4112,A4113,A4114,A4115,A4116
AR-42 (OSU-HDAC42),M344,Scriptaid,Sodium Phenylbutyrate,MLN8237 (Alisertib),"VX-680 (MK-0457,Tozasertib)",Barasertib (AZD1152-HQPA),ZM 447439,MLN8054,JNJ-7706621,Danusertib (PHA-739358)
A4117,A4118,A4119,A4120,A4121,A4122,A4123,A4124,A4125,A4126,A4129
AT9283,Hesperadin,AMG-900,MK-5108 (VX-689),SNS-314 Mesylate,PHA-680632,KW 2449,TAK-901,CYC116,Aurora A Inhibitor I,ENMD-2076 L-(+)-Tartaric acid
A4130,A4131,A4132,A4135,A4136,A4137,A4138,A4139,A4140,A4141,A4143
ENMD-2076,CCT129202,CCT137690,Tofacitinib (CP-690550) Citrate,TG101348 (SAR302503),AZD1480,"Tofacitinib (CP-690550,Tasocitinib)",AG-490,WP1066,"Baricitinib (LY3009104, INCB028050)",CYT387
A4145,A4146,A4147,A4148,A4150,A4151,A4152,A4153,A4154,A4156,A4157
TG101209,CEP-33779,LY2784544,NVP-BSK805 2HCl,WHI-P154,ZM 39923 HCl,BMS-911543,BMN 673,"Olaparib (AZD2281, Ku-0059436)","Rucaparib (AG-014699,PF-01367338)",Iniparib (BSI-201)
A4158,A4159,A4160,A4161,A4163,A4164,A4166,A4167,A4168,A4170,A4171
AG-14361,PJ34 hydrochloride,A-966492,INO-1001,UPF 1069,AZD2461,EPZ5676,SGC 0946,Entacapone,EPZ004777,EPZ005687
A4176,A4180,A4181,A4182,A4183,A4184,A4186,A4187,A4188,A4189,A4190
Thioguanine,SRT1720 HCl,EX 527 (SEN0014196),Resveratrol,Sirtinol,PFI-1 (PF-6405761),Bromosporine,FG-4592 (ASP1517),2-Methoxyestradiol (2-MeOE2),IOX2(Glycine),GSK J4 HCl
A4191,A4192,A4193,A4203,A4452,A4488,A4491,A4493,A4494,A4495,A4496
GSK J1,SGI-1776 free base,SMI-4a,Tenovin-1,Mitomycin C,Anacardic acid,SGC-CBP30,KD 5170,LMK 235,NCH 51,NSC 3852
A4498,A4499,A4501,A4503,A4504,A4506,A4507,A4509,A4510,A4512,A4517
SBHA,TC-H 106,Tubacin,UNC 0224,UNC 0646,DMOG,KC7F2,PX 12,"1,2,3,4,5,6-Hexabromocyclohexane",Cucurbitacin I,ZM 449829
A4521,A4524,A4529,A4531,A4541,A4544,A5072,A5511,A5734,A8171,A8173
TCS PIM-1 1,4-HQN,JW 55,WIKI4,Sal 003,NSC 87877,GSK690693,Ofloxacin,Fasudil (HA-1077) HCl,"Entinostat (MS-275,SNDX-275)","Romidepsin (FK228, depsipeptide)"
A8178,A8181,A8182,A8183,A8184,A8191,A8192,A8221,A8223,A8226,A8242
Panobinostat (LBH589),(-)-JQ1,3-Deazaneplanocin A (DZNep) hydrochloride,Trichostatin A (TSA),AICAR,Nanaomycin A,Staurosporine,EPZ-6438,CID 2011756,TAK-632,Splitomicin
A8302,A8341,A8342,A8343,A8405,A8525,A8547,A8601,A8708,A8710,A8712
Tenovin-6,Go 6976,GF 109203X,Go 6983,Cytarabine,Sotrastaurin (AEB071),Tubastatin A HCl,Tankyrase Inhibitors (TNKS) 49,Sephin1,ETC-1002,MCB-613
A8803,A8806,A8807,A8808,A8810,A8890,A8893,B1012,B1013,B1021,B1081
RGFP966,TMP269,MK-8745,ME0328,UNC669,HTH-01-015,Rucaparib (free base),MS436,GSK1324726A,EI1,CPI-203
B1115,B1127,B1130,B1182,B1251,B1372,B1373,B1374,B1391,B1443,B1470
BAY 87-2243,UNC 0631,GLPG0634,ABC294640,Valproic acid,Dorsomorphin 2HCl,Phenformin HCl,WZ4003,Divalproex Sodium,Bufexamac,Procarbazine HCl
