a,b,c,d,e,f,g,h,i,j,k
0.129690432,0.113273921,0.787992495,0.312734522,1.103189493,0.832317073,0.829033771,0.9940197,0.88238743,1.01043621,1.045731707
1.066252345,1.006332083,0.938203565,1.104010319,1.012898687,0.940666041,0.993198874,1.157363977,0.966111632,0.143644465,1.099906191
1.164751407,0.139540338,0.909474672,0.685389306,1.044090056,0.894699812,0.902087242,0.931636961,1.05065666,0.899624765,0.862687617
0.673076923,0.727251407,0.428470919,0.989094747,1.027673546,0.380863039,1.05065666,0.980065666,0.992378049,0.925891182,0.298780488
1.0744606,0.912757974,0.862687617,0.407950281,0.380042214,0.782246717,0.808513133,0.706730769,0.50891182,0.967753283,0.444066604
0.825750469,1.002227955,0.641064728,0.488391182,0.508090994,0.531074109,0.871716698,0.70837242,0.865150094,0.975140713,0.503986867
1.057223265,0.719043152,0.576219512,0.829033771,0.558161351,0.641885553,0.815079737,0.887312383,0.686210131,0.749413696,0.797842402
0.666510319,0.381683865,0.597560976,0.592636023,0.797842402,0.938203565,0.839704503,0.862687617,0.689493433,0.623827392,0.650914634
0.634211025,0.988823641,0.335669634,0.925175223,0.74180716,0.747868915,0.911536276,0.864557681,0.895624171,0.996400833,0.589505588
0.882742944,0.936541012,0.821367683,0.732714529,0.791058913,0.833491192,0.676643304,0.72134874,0.936541012,0.922902065,1.132790301
0.954726274,0.791816632,0.802424702,0.799393825,0.803182421,0.843341542,0.809244175,0.806213298,0.978215571,0.963061186,0.663762076
0.338700511,0.211403675,0.788785755,0.812275052,0.82515628,0.764538738,0.667550672,0.842583823,0.438719454,0.903959083,0.751657511
1.004735745,0.648607691,0.779693124,0.420534192,0.588747869,0.822125403,0.744838038,0.637241902,0.539496117,0.753930669,0.702405759
0.952453116,1.006251184,0.840310665,0.779693124,0.764538738,0.922902065,0.804697859,0.584959273,0.91759803,0.942602766,0.842583823
0.771358212,0.888046979,0.764538738,0.786512597,0.820609964,0.802424702,0.645576814,0.799393825,0.884258382,0.691797689,0.252320515
0.38189051,0.862284524,0.583443834,0.452358401,0.904716802,0.128054556,0.140935783,0.902443645,0.961545747,0.859253647,1.028225043
0.286185567,0.571546392,0.808247423,0.874226804,0.531958763,0.963298969,0.956701031,0.928659794,1.096082474,0.955876289,0.990515464
1.148865979,0.949278351,0.525360825,0.914639175,1.022680412,0.983092784,0.847010309,1.08371134,0.870103093,1.077113402,1.006185567
1.035876289,0.796701031,0.842886598,0.93443299,0.97814433,0.903092784,0.911340206,0.943505155,1.07628866,1.030927835,1.049896907
1.079587629,0.877525773,0.878350515,0.858556701,0.707628866,0.908041237,0.640824742,1.108453608,1.068865979,1.007010309,0.705979381
1.068041237,1.022680412,0.921237113,1.028453608,0.991340206,0.861030928,0.299381443,0.435463918,0.293608247,0.498969072,0.715051546
0.993814433,0.992989691,0.869278351,0.537731959,0.579793814,0.799175258,0.978969072,1.011958763,0.965773196,0.432164948,1.074639175
1.154639175,0.943505155,0.550103093,0.897319588,1.025979381,1.052371134,1.013608247,0.960824742,1.020206186,1.015257732,0.978969072
0.976494845,0.870927835,0.93443299,1.002061856,0.927010309,0.977319588,0.884948454,0.835463918,0.936082474,0.96742268,0.956701031
0.83470988,0.881547308,0.7903816,0.771981181,0.628123366,0.869837951,0.874856247,0.871510716,0.833873497,0.933403032,0.976894929
0.854783063,1.391740721,1.017877679,1.078933612,1.160062729,1.161735494,1.163408259,1.076424464,1.212754835,1.235337167,1.137480397
0.974385781,1.139153163,0.925039205,1.13831678,0.852273915,0.973549399,1.027077888,1.104025091,1.157553581,1.15420805,1.155880815
1.027914271,1.120752744,1.007004705,1.059696811,1.075588082,1.001986409,1.325666492,1.279665447,1.167590173,1.108207005,1.111552535
0.960167277,1.095661265,1.080606377,1.032096184,1.066387872,1.070569786,0.59132253,1.066387872,1.165081025,1.104861474,1.155044433
0.678306325,1.145844224,1.158389963,1.18264506,1.056351281,0.475065342,0.890747517,1.135807632,1.016204914,1.08144276,1.180972295
0.875692629,0.503502352,1.028750653,1.042132776,0.912493466,1.099843178,0.128802927,1.025405123,1.035441715,1.056351281,1.118243596
0.928384736,0.882383691,0.881547308,0.896602196,0.734343962,0.978567695,0.874856247,0.966021955,0.898274961,1.034605332,1.071406168
