"","ID","Drug","MOSE","M378","SpecificToMOSE","SpecificToM378"
"1","A1042","Angiotensin II HUMAN",0.998323353,0.741690569,"Not Specific","Not Specific"
"2","A1206","Daptomycin",1.078802395,0.584612789,"Not Specific","Specific"
"3","A1313","Gatifloxacin",1.063473054,0.722793994,"Not Specific","Not Specific"
"4","A1373","Biapenem",1.105628743,0.765311287,"Not Specific","Not Specific"
"5","A1623","Epothilone A",0.753053892,0.549181711,"Not Specific","Not Specific"
"6","A1652","Dimesna",1.136287425,0.742871605,"Not Specific","Specific"
"7","A1663","PD98059",1.14011976,0.643664586,"Not Specific","Specific"
"8","A1736","PA-824",1.14011976,0.738147461,"Not Specific","Specific"
"9","A1745","Galanthamine HBr",1.195688623,0.741690569,"Not Specific","Specific"
"10","A1765","Vincristine sulfate",0.580598802,0.59878522,"Not Specific","Not Specific"
"11","A1796","Mianserin HCl",1.105628743,0.765311287,"Not Specific","Not Specific"
"12","A1832","Doxorubicin (Adriamycin) HCl",0.850778443,0.672009448,"Not Specific","Not Specific"
"13","A1845","Canertinib (CI-1033)",0.908263473,0.292896912,"Not Specific","Specific"
"14","A1906","Decitabine (NSC127716, 5AZA-CdR)",1.059640719,0.966087397,"Not Specific","Not Specific"
"15","A1932","(-)-Huperzine A",1.195688623,0.879871773,"Not Specific","Not Specific"
"16","A1971","Etoposide",0.850778443,0.8314493,"Not Specific","Not Specific"
"17","A2036","Doripenem Hydrate",1.122874251,0.93301839,"Not Specific","Not Specific"
"18","A2187","Cladribine",0.915928144,1.031044373,"Not Specific","Not Specific"
"19","A2198","Genistein",1.103712575,0.810190653,"Not Specific","Not Specific"
"20","A2213","17-DMAG (Alvespimycin) HCl",0.948502994,0.359034925,"Not Specific","Specific"
"21","A2306","Ellagic acid",1.10754491,0.957820145,"Not Specific","Not Specific"
"22","A2324","Dexamethasone (DHAP)",1.232095808,0.905854564,"Not Specific","Not Specific"
"23","A2415","Acitretin",1.105628743,1.064113379,"Not Specific","Not Specific"
"24","A2431","Acarbose",1.090299401,0.856251054,"Not Specific","Not Specific"
"25","A2451","Epirubicin HCl",0.674491018,0.429897081,"Not Specific","Specific"
"26","A2486","Malotilate",1.002155689,0.842078623,"Not Specific","Not Specific"
"27","A2489","Leucovorin Calcium",1.051976048,0.942466678,"Not Specific","Not Specific"
"28","A2510","Ampicillin sodium",1.128622754,0.836173444,"Not Specific","Not Specific"
"29","A2511","Carbenicillin, Disodium Salt",1.028982036,0.870423486,"Not Specific","Not Specific"
"30","A2512","Chloramphenicol",1.153532934,0.931837354,"Not Specific","Not Specific"
"31","A2513","Geneticin, G-418 Sulfate",1.253173653,0.884595917,"Not Specific","Not Specific"
"32","A2514","Gentamycin Sulfate",1.16502994,0.846802767,"Not Specific","Not Specific"
"33","A2515","Hygromycin B",1.151616766,0.888139025,"Not Specific","Not Specific"
"34","A2516","Kanamycin Sulfate",1.16502994,0.838535515,"Not Specific","Not Specific"
"35","A2517","Tetracycline Hydrochloride",1.094131737,0.974354648,"Not Specific","Not Specific"
"36","A2552","Quercetin dihydrate",1.065389222,0.888139025,"Not Specific","Not Specific"
"37","A2570","Leupeptin, Microbial",1.071137725,0.83735448,"Not Specific","Not Specific"
"38","A2571","Pepstatin A",1.092215569,0.909397672,"Not Specific","Not Specific"
"39","A2575","Bestatin",1.055808383,0.928294247,"Not Specific","Not Specific"
"40","A2576","E-64",1.119041916,0.920026995,"Not Specific","Not Specific"
"41","A2600","(-)-Epigallocatechin gallate (EGCG)",1.358562874,0.917664923,"Not Specific","Not Specific"
"42","A2604","Celastrol",0.756886228,0.582250717,"Not Specific","Not Specific"
"43","A2606","Epoxomicin",0.636167665,0.617681795,"Not Specific","Not Specific"
"44","A2689","Butein",1.094131737,0.894044204,"Not Specific","Not Specific"
"45","A2813","Ivermectin",1.111377246,0.190146786,"Not Specific","Specific"
"46","A2842","Melatonin",1.088383234,0.865699342,"Not Specific","Not Specific"
"47","A2877","Camptothecin",0.64,0.494854058,"Not Specific","Not Specific"
"48","A3009","Sorafenib",0.804790419,0.341319386,"Not Specific","Specific"
"49","A3118","3,3'-Diindolylmethane",1.071137725,0.902311456,"Not Specific","Not Specific"
"50","A3123","4'-Demethylepipodophyllotoxin",0.674491018,0.713345706,"Not Specific","Not Specific"
"51","A3125","5-Iodotubercidin",0.603592814,0.66846634,"Not Specific","Not Specific"
